query id,cosine recall,euclidean recall,cosine precision,euclidean precision,cosine f-measure,euclidean f-measure,cosine similarity results,euclidean similarity results
1,0.1724137931034483,0.034482758620689655,0.3333333333333333,0.06666666666666667,0.22727272727272724,0.045454545454545456,"[  12  878  429   13 1111  345  430  184 1063  195  378   38  203  435
 1051]","[ 995  471    3  507 1045  320  429  405   31  382  670 1152  281  502
  485]"
2,0.08,0.0,0.4666666666666667,0.0,0.1,0.0,"[  12  878  578  429  700 1087  364  321  726  747  875 1111  345 1089
  285]","[ 471  995 1045    3  507  320  429  405   31  670  382 1152  223  834
  502]"
3,0.5555555555555556,0.3333333333333333,0.8,0.2,0.4166666666666667,0.25,[399 181   5 485 542 159 476 144 584 350 398 963 387 509 980],"[ 995  471  485  507    3 1045  320  405  399  281   31  382  670 1152
  181]"
4,0.6666666666666666,0.0,0.9333333333333333,0.0,0.2222222222222222,0.0,"[ 166 1011  378 1085 1255  517  488 1189  575 1077  591   69 1374 1191
 1252]","[ 995  471  507 1045    3  320  405   31 1152  382  879  281 1176  429
  485]"
5,0.6,0.0,1.1333333333333333,0.0,0.3,0.0,"[ 488  355 1296 1272   68 1032  103  401  625  943 1374 1295   56 1180
  670]","[ 995  471 1045    3  507  320  405   31 1152  670  382  485 1176  429
  281]"
6,0.0,0.0,1.1333333333333333,0.0,0.0,0.0,"[1146  544  663  610 1074 1374  635  501  418 1083   19 1369  464 1367
 1231]","[ 995  471  507    3 1045  320  382  405 1146  485   31  670  286  137
 1152]"
7,0.3333333333333333,0.16666666666666666,1.2666666666666666,0.06666666666666667,0.19047619047619044,0.09523809523809522,"[ 492 1006  248 1231   56  124  498  122  973 1355  312  250 1378  694
  988]","[ 471  995  492    3  507 1045  320   31  405  250  485  382 1152  920
  281]"
8,0.3333333333333333,0.08333333333333333,1.5333333333333332,0.06666666666666667,0.2962962962962963,0.07407407407407407,"[ 492  122  988 1352  232   69 1297 1231  461   48  801  443  973  231
  197]","[ 471  995    3 1045  507  320  405   31  492 1152  382  670  429  281
  485]"
9,0.75,0.25,1.7333333333333332,0.06666666666666667,0.31578947368421056,0.10526315789473685,"[  21  102  303   45   22  398   98  270  387  550  306 1283  539  378
  549]","[ 471  995  507    3 1045  320  485  405  670  382 1152   31   21  920
  607]"
10,0.3333333333333333,0.1111111111111111,1.9333333333333331,0.06666666666666667,0.25,0.08333333333333334,"[ 405  421 1286 1264  524  302 1009  125  691  127  493 1199  482 1010
   69]","[ 471  995  405    3  507 1045  320   31  382 1152  853  502  483  485
  281]"
11,0.25,0.0,2.0666666666666664,0.0,0.1739130434782609,0.0,"[ 264  495  473 1206  320  107  654    2  273 1276 1389  110  981 1129
 1327]","[ 995  471  320  507 1045    3  405 1152   31  281 1276  832  382  264
  485]"
12,0.6666666666666666,0.0,2.333333333333333,0.0,0.3809523809523809,0.0,"[ 624  650  592 1379   86  748  407  602  324  708  387  567  590  652
  203]","[ 995  471    3  507 1045  320  405  382  485   31  137 1152  281  607
  429]"
